Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
5423,2021,2,CE 687,Total Grades Given for are,2.0,,,,5,3.0,,,,,,,,,,,,,,,
5424,2021,2,CE 694,Total Grades Given for are,28.0,12.0,,4.0,79,30.0,1.0,,,4.0,,,,,,,,,,,
5425,2021,2,CE 695,Total Grades Given for are,,,,,1,1.0,,,,,,,,,,,,,,,
5426,2021,2,CE 699,Total Grades Given for are,2.0,1.0,,,9,6.0,,,,,,,,,,,,,,,
5427,2021,2,CE 707,Total Grades Given for are,2.0,1.0,,,8,3.0,1.0,1.0,,,,,,,,,,,,,
5428,2021,2,CE 708,Total Grades Given for are,2.0,1.0,1.0,,9,3.0,,2.0,,,,,,,,,,,,,
5429,2021,2,CE 716,Total Grades Given for are,5.0,4.0,,5.0,31,10.0,4.0,1.0,1.0,1.0,,,,,,,,,,,
5430,2021,2,CE 719,Total Grades Given for are,8.0,7.0,,5.0,31,8.0,1.0,1.0,1.0,,,,,,,,,,,,
5431,2021,2,CE 722,Total Grades Given for are,5.0,1.0,,1.0,13,5.0,,1.0,,,,,,,,,,,,,
5432,2021,2,CE 723,Total Grades Given for are,9.0,3.0,,3.0,23,5.0,1.0,1.0,1.0,,,,,,,,,,,,
5433,2021,2,CE 729,Total Grades Given for are,11.0,8.0,,3.0,34,3.0,4.0,1.0,4.0,,,,,,,,,,,,
5434,2021,2,CE 743,Total Grades Given for are,2.0,7.0,,2.0,21,2.0,3.0,5.0,,,,,,,,,,,,,
5435,2021,2,CE 749,Total Grades Given for are,5.0,7.0,10.0,5.0,39,3.0,,1.0,8.0,,,,,,,,,,,,
5436,2021,2,CE 757,Total Grades Given for are,2.0,2.0,,3.0,11,2.0,1.0,,,,1.0,,,,,,,,,,
5437,2021,2,CE 761,Total Grades Given for are,2.0,2.0,1.0,1.0,10,3.0,1.0,,,,,,,,,,,,,,
5438,2021,2,CE 773,Total Grades Given for are,5.0,3.0,,1.0,11,2.0,,,,,,,,,,,,,,,
5439,2021,2,CE 774,Total Grades Given for are,15.0,10.0,1.0,2.0,45,6.0,7.0,3.0,1.0,,,,,,,,,,,,
5440,2021,2,CE 776,Total Grades Given for are,12.0,8.0,1.0,2.0,59,27.0,4.0,2.0,3.0,,,,,,,,,,,,
5441,2021,2,CE 780,Total Grades Given for are,1.0,3.0,,,10,6.0,,,,,,,,,,,,,,,
5442,2021,2,CE 899,Total Grades Given for are,,,,,37,,,,,,,,,37.0,,,,,,,
5443,2021,2,CES801,Total Grades Given for are,5.0,3.0,,,12,3.0,,,,1.0,,,,,,,,,,,
5444,2021,2,CH 104,Total Grades Given for are,4.0,10.0,,1.0,39,1.0,10.0,5.0,8.0,,,,,,,,,,,,
5445,2021,2,CH 218,Total Grades Given for are,13.0,4.0,,2.0,54,26.0,7.0,1.0,1.0,,,,,,,,,,,,
5446,2021,2,CH 220,Total Grades Given for are,3.0,5.0,1.0,1.0,28,2.0,5.0,8.0,3.0,,,,,,,,,,,,
